feature,importance_mean,importance_std
target_value,83.61001303259668,1.8637155811895805
station_name,16.823088802723557,0.37161780216700624
unit,5.067241130958428,0.1374697266842328
hour_utc,1.5365246750484314,0.057604749402145786
wind_speed_ms,0.6796620476156645,0.0506393075209487
rolling_min_6,0.6512448163267195,0.04246680232144304
weather_temp_trend_3_12,0.49778175254049983,0.01839283343358031
temp_lag_12,0.4784136781650159,0.02453694358992303
temperature_c,0.4487520760284659,0.02223425657523458
temp_lag_6,0.4177630200755966,0.014656978717343547
distance_km,0.40281640907945554,0.01383628194469602
humidity_roll_mean_12,0.36393513256535126,0.01376057822366005
value_range_12,0.26539713510396556,0.009328232817834837
rolling_max_6,0.23785171433288524,0.008172977789650072
rolling_mean_3,0.23572135129023106,0.005362785458947418
value_volatility_24,0.1632913227129906,0.008239204733711989
relative_humidity_pct,0.16184875608200855,0.008405986903813913
pressure_hpa,0.15361148526843713,0.021698625859452172
temp_roll_mean_6,0.14712327450400345,0.008370397030443125
value_trend_3_12,0.14355712153124103,0.004107715422722363
pressure_delta_3,0.13410187533599463,0.006851777010877665
weather_pressure_trend_3_12,0.1230752239287447,0.0097560459530345
pressure_roll_mean_12,0.10559241642893888,0.012098988041392596
value_volatility_12,0.10439032838911447,0.004333709556349845
lag_1,0.10276566227644224,0.0028267134457183756
value_accel_3_6,0.10208367384071988,0.004749874893172266
wind_lag_6,0.08397723755191917,0.002389555705154672
wind_roll_mean_12,0.0664559331626344,0.006962417958444806
value_vol_ratio_6_24,0.054165431754510364,0.0035313668908931177
value_trend_6_24,0.052248454254781064,0.0030265946251659247
temp_roll_mean_12,0.04759634077914519,0.005255130435753701
lag_3,0.045218620024942834,0.0034238229831760783
rolling_std_3,0.035863484736631326,0.0020928406119458494
humidity_lag_1,0.034794296091229436,0.00255965080038329
value_volatility_6,0.03043329358144866,0.0022573053411933173
weather_wind_trend_3_12,0.029471752643371783,0.0034915939350631006
lag_6,0.02659115170550892,0.002355860727393398
pressure_lag_3,0.026387226617104707,0.0017899770632226193
value_accel_1_3,0.020935976430062064,0.0016205570468759737
temp_change_1_3,0.01790895272209352,0.0012453474249273292
source,0.0,0.0
timeseries_name,0.0,0.0
precipitation_mm,0.0,0.0
precip_roll_sum_24,0.0,0.0
precip_roll_sum_12,0.0,0.0
precip_lag_12,0.0,0.0
precip_lag_6,0.0,0.0
day_of_week,0.0,0.0
month,0.0,0.0
value_range_6,0.0,0.0
weather_precip_intensity_6_24,0.0,0.0
